code,20060201-20060630,20061201-20070228,20070701-20080131,20100201-20101231,20110601-20110630,20130101-20130331,20130701-20130930,total_return_rate
专业零售(申万),106.17916109922352,71.25682836786682,23.452077692356127,-1.8053840271515909,1.971579945881485,-1.3334533980457697,107.01728638835894,308.5434800956411
券商Ⅱ(申万),113.08332290754407,100.36467808376726,26.716552830996037,-32.43205916056109,2.350406382661019,-3.4467747531152115,16.129504055311795,255.19768950716497
种植业(申万),61.13452557238866,53.42471823808328,91.27694511969351,19.67355247285887,0.35621632408699977,-3.3319610629340857,35.2870637034707,238.14750789478904
航空装备Ⅱ(申万),113.9996189931895,43.473598826614506,19.473692924075372,19.64158952590396,12.872673716544456,26.416879304771943,9.744612549550503,225.9810763147463
贸易Ⅱ(申万),65.93737942466811,77.91710151248462,45.12581585639375,12.446755947293365,2.4909581783913115,3.8630707975612735,29.984327950835567,225.31865372033462
稀有金属(申万),76.02810532774144,80.24327650771208,52.82584904972093,80.38621938584498,3.7574227740455384,-10.903004364591727,23.066214175045552,225.01786346967384
林业Ⅱ(申万),49.31445380665105,23.370111693888074,104.20627428596515,23.490930934450738,2.4846919480854046,6.6760093303707135,30.364739651996665,216.4162807169571
多元金融Ⅱ(申万),75.21734835012845,72.67354848612764,24.954403410741065,-18.00649707174231,-1.9648301084808968,-0.6019598693420392,42.66657745736771,212.9450877265419
燃气Ⅱ(申万),79.1481568559514,63.38006839893491,64.69772852336601,9.327233724727304,-3.0683502620803216,7.277790268487805,-7.45963731958942,203.9757564650704
化学制品(申万),45.224708912183964,52.43083534783777,66.03681996332386,1.0334619281317847,4.913162418903494,15.049696618242136,14.905002007155186,198.56022526764642
农业综合Ⅱ(申万),77.07725947521864,67.20634876667175,29.13065205722853,25.839403449169367,1.0563616982454782,0.4918845746605616,14.453175231636585,189.41568180366153
高低压设备(申万),58.216104707404355,46.785336574779905,49.621991664665394,1.0152267137222726,-1.3480578680379107,8.668689241208316,21.68228779186496,183.626352111885
物流Ⅱ(申万),82.04060185066517,38.820641784113995,19.01917302407503,1.3900286963284936,4.089939542150667,-0.2276598638574656,35.867270910696675,179.60996724784405
汽车整车(申万),56.03483121412649,77.55601779931014,23.26107982663672,-1.6185339497365114,6.102808265917936,1.6367462523706688,13.578358167057793,178.16984152541974
电机Ⅱ(申万),36.283080582812964,82.2602441650061,31.107548808134627,37.92486991883849,-0.3956448755012665,13.449160222912138,13.426289302368534,176.1306782057331
医疗器械Ⅱ(申万),37.703578069763175,55.316544507307185,25.84023282248897,50.288439461196994,1.9246424663291741,18.6392155040201,36.65807557031988,176.08228894022847
计算机应用(申万),32.776692130040864,51.62773933102653,34.088096618054784,19.44958733255362,4.201754979116057,12.612943204713664,39.237404047452905,174.5446303104048
化学制药(申万),39.86651533469861,54.54634042628585,33.54772847105105,26.740181187906533,2.883713742123972,17.599117513464414,22.921610935625324,171.36502642324922
生物制品Ⅱ(申万),32.511619697593694,57.01644758865408,36.28871958453062,16.07369452431051,1.929996620435093,28.756766077399433,14.823560203466199,171.32710977207913
化学纤维(申万),49.27029333999542,68.34219307037466,32.59098937504004,10.826577525499225,1.0308214723073306,4.495721643213435,15.543236319348194,171.27325522027908
专用设备(申万),73.44824642121938,49.0614722757831,26.98566291235373,49.976842465345364,5.672679882022091,0.8381658321833907,13.359494545634053,169.36572186919577
文化传媒(申万),44.349416977097896,34.717056990652324,10.647192777012783,-13.46631039826055,-0.9897908944811352,6.4107999932160755,73.53374422573766,168.6684200692356
通信运营Ⅱ(申万),1.178333470428572,67.85003395545979,92.39784887091108,-23.055915409124328,-7.1195939016593055,4.203105294713549,9.425145607987641,167.93487329784134
农产品加工(申万),30.862994525450468,48.06431936459321,72.59877276465336,22.0814445228368,-2.778131878404677,5.977595424781913,13.16567065073042,167.8912208518047
光学光电子(申万),30.13246713698421,56.65004985044865,50.612326841999604,32.09060445697753,5.975363903505747,20.912758505092064,3.592451444051603,167.87541768208186
旅游综合Ⅱ(申万),51.3440577576841,48.55443288571804,14.24217480318286,4.223676111883634,0.5696319033665409,9.668481483477986,41.85035569242717,166.2291345258567
通用机械(申万),51.32777250553584,65.00164989275696,22.67116578676496,27.59408648686079,4.320096232815018,7.161119502120018,15.420850948334964,165.90265486832774
航空运输Ⅱ(申万),26.229113787005744,48.86291503389672,91.2188188188188,33.29733216329531,0.6182307189067204,-4.781194339996042,1.9620409169337052,164.10992493556566
化学原料(申万),29.659825275251308,50.76424323367921,54.064730158006356,2.1839154947832284,7.238193897469269,4.5787817725456925,17.193576865262106,163.49935120221397
