code,20060601-20070131,20070901-20080131,20110201-20110630,20130801-20130930,20100301-20100930
林业Ⅱ(申万),57.89403570205152,18.533527028060238,-16.461814938216545,12.658974483282437,37.138077467507394
农产品加工(申万),22.597598557600108,29.490492211312326,-10.31214353192974,12.514751149145464,-5.0927243407323015
农业综合Ⅱ(申万),85.1943223475043,0.6448262431297813,1.4768634371429057,12.255966012811559,12.948899830315174
饲料Ⅱ(申万),54.36788795798424,-10.551192397346231,3.4766667590206746,21.216498054474698,-21.54352789456715
渔业(申万),85.35615415037132,11.806500280462418,-4.996814564459173,13.870034708831458,40.20650090403621
种植业(申万),43.77192844443745,49.68033308347874,-9.817980751987577,33.40408827891017,12.801537984327016
畜禽养殖Ⅱ(申万),65.12715744980626,-4.410288036560006,2.186324896338032,14.30876914142496,-12.936573075528246
动物保健Ⅱ(申万),68.46653248384511,3.0218782998943983,-1.9158968936887288,9.701609376602761,9.307185191349298
煤炭开采Ⅱ(申万),21.02705377959846,-1.8647911283475538,8.649038069111391,10.165677398724938,-8.741774920681888
其他采掘Ⅱ(申万),19.36400470068229,-5.143365809439038,-0.5969111585638398,4.689285603978144,33.76312757751325
石油开采Ⅱ(申万),0.0,-48.05313533452048,-5.069457249984632,-2.9767360656453357,-19.243165147810625
采掘服务Ⅱ(申万),62.145447235266005,-9.83469904072013,-27.27317906066189,8.33213134493096,-19.77306410035147
化学纤维(申万),70.45186953062847,5.84399929867625,-1.4047698261219876,10.782710938947094,-6.244615404596865
化学原料(申万),27.91594484918958,13.042187192859899,15.352595832853687,9.803643950966867,-5.359469042961429
化学制品(申万),50.22973863386777,25.972555652553453,2.636368379538845,7.519607033765374,-4.616633325681296
石油化工(申万),66.9704047997344,-2.4283074882354705,0.5169889243476611,5.994527857295862,-23.061612440757273
塑料Ⅱ(申万),67.11914698908777,-9.773828405066586,-0.15322133306437946,5.739289320575081,6.237659461222811
橡胶(申万),15.650825894050357,11.599902828039133,15.718769755509477,10.794887321408119,-11.925933163963254
钢铁Ⅱ(申万),92.07844367743961,-7.673492064652421,5.246087280963008,7.530620918820752,-19.18812823244983
金属非金属新材料(申万),36.581208508602295,-0.4646080115420004,-6.369005376667436,0.5679566767930133,44.045029219356515
黄金Ⅱ(申万),,11.489490684862979,0.1360637129976583,6.949002151870198,18.791352812331354
稀有金属(申万),55.629623973011945,-9.898853254417517,20.775256827215948,10.049405009485369,60.27120271100588
工业金属(申万),49.13388788106721,-26.849474278981013,-3.3145180475356195,12.223021582733828,-1.3603890431170051
通用机械(申万),64.53746085280653,-7.287533211414365,-8.432911616290205,6.709565468874268,1.0739440636478914
仪器仪表Ⅱ(申万),35.2947089348763,-13.328332860490699,-8.834721646734966,8.929527549017124,0.3521242946908032
专用设备(申万),74.11570870976763,-5.617703571598353,-2.208959998781268,11.010407150142365,8.869740949648452
金属制品Ⅱ(申万),,,-10.688342654808435,14.522540537489604,1.7686791992106876
