code,20090201-20090601,20160601-20160701,20020101-20020301,20140301-20140501,20120801-20120901,20050201-20050801,20080301-20080501
林业Ⅱ(申万),27.488332773615287,3.7827975838875094,-14.237014336789844,-2.1375052032746034,9.17742478996968,-17.529775266062796,-24.16976979921114
农产品加工(申万),41.46125097539939,6.733889310083385,-13.468312047803355,-6.94223273730985,3.706121101633242,-22.016870438820966,-9.512457345860803
农业综合Ⅱ(申万),22.61587386220818,-0.9581722761698219,-11.678495386799149,-12.107567970535815,4.605759252208053,-17.228835978835978,-17.06486276935407
饲料Ⅱ(申万),31.851667392973493,-1.4525749833136037,-9.948435436745273,-8.867863859143121,-9.921855306276782,-3.7390135832062077,-18.156527968479487
渔业(申万),32.72379014156168,2.0540101222801033,-17.334977890771174,-2.687305351822622,-7.391812062096436,-16.488002805189595,-26.944705043003438
种植业(申万),7.028296177958504,1.841291979016435,-12.853148532514535,-11.726198721627457,3.36041557628437,-23.5376422679336,4.723211741236821
畜禽养殖Ⅱ(申万),17.552637064832165,0.6671673079320817,-12.337701920146305,2.6720459394434792,-5.078129471695947,-24.847713582760665,-9.356499648422433
动物保健Ⅱ(申万),40.57352477122122,2.894271294031947,-9.521803244154203,-7.358787984937399,-0.15059529433997243,-26.191156074080112,-25.2990000153137
煤炭开采Ⅱ(申万),78.3607164109784,2.879162425476234,-6.03643299670269,-1.7016894892491474,-6.977549820059625,-18.363079906669487,-0.8621768665462715
其他采掘Ⅱ(申万),68.70578250974036,-0.6506960934953732,-13.405608755129961,-7.734217306398405,3.1577427366718647,-29.90371222673045,-20.092486483309813
石油开采Ⅱ(申万),38.949453137545255,-3.6225601612109526,-4.340016104721989,-2.2131504712978423,-0.5651291439487505,5.194794896397514,-20.05637034819915
采掘服务Ⅱ(申万),11.306418176966805,0.01500806683591982,0.5066708197061676,-12.393970514175123,1.09445461018427,30.420578854809378,-9.555863173426138
化学纤维(申万),55.952980012479614,1.3666440869967822,-13.20915147265077,-1.7019856499249197,3.093688107435044,-27.97567184323374,-31.915450768498733
化学原料(申万),36.73135749618679,4.646843375167076,-16.39149834754372,-2.0233578814252806,2.4915283527811694,-21.725692785475392,-20.58466104027771
化学制品(申万),26.001784043687316,6.310057655349133,-13.079005741127359,-3.2391933600933953,1.2040824293317431,-7.22453792573905,-17.59381039951379
石油化工(申万),37.24932497968383,0.10831774828903296,-10.520193306112258,-11.656148117129783,1.8534154116966794,-7.67541715189931,-26.414841778663945
塑料Ⅱ(申万),70.41263557593263,6.2594618682803915,-12.883038992987906,-4.366858900780235,5.324209437272276,-15.315537472001306,-27.943343740621117
橡胶(申万),61.70242150814844,6.454793216574406,-15.229253670532428,-6.036266635283971,2.228878084173558,-8.288326263930234,-25.11126361492937
钢铁Ⅱ(申万),24.41727121395838,-1.6316049300770574,-3.6888507205155796,-4.085804416403782,-1.2083860092709675,-11.494804854623231,-20.592483544152206
金属非金属新材料(申万),68.83143419538078,2.9402299880647575,-10.144264997939068,-8.474777411003453,-3.346168140935102,-24.39799862782175,-18.768784158651542
黄金Ⅱ(申万),93.0507366976014,16.085507992409887,,-10.089094444505486,-0.5152291369807438,,-43.01230283911672
稀有金属(申万),71.9519921856953,0.7667485461825274,-8.0749578490804,-4.272422649197072,-5.495677326262727,-8.933353489979268,-28.74590777500202
工业金属(申万),85.31812649515255,6.170933962835168,-11.826045522853057,-1.7293616666840261,-1.7798447711792398,-12.070561612836862,-33.87929297365443
通用机械(申万),51.7443034226571,6.679701788084169,-12.716856159802736,-7.554359777887731,2.0605289484163736,-12.612049569658224,-25.70262462671289
仪器仪表Ⅱ(申万),68.93876343191106,17.77159098851431,-6.372804144037136,-8.582207894873884,1.988510494499307,-49.332094833687194,-32.05770796436275
专用设备(申万),37.38122942710118,4.6439924016074885,-11.006665106136582,-7.3662261071033575,-6.83163671229522,-15.480863059741946,-24.5527087619679
金属制品Ⅱ(申万),36.433183699330044,8.223206997084542,,-9.195995389605171,-2.892986312442525,,
运输设备Ⅱ(申万),10.98752023170626,-2.8974683579888083,-13.665670085048786,3.3195252417916876,-5.057165080819603,-25.191085929063295,-21.01684576882368
半导体(申万),48.464491362763916,11.73592655230733,-7.85473561882627,-11.158321349195965,7.093085841467506,-22.058670658433655,-23.78986360040901
其他电子Ⅱ(申万),42.482096444723496,13.586686328207275,-19.30498159599079,-5.817080109404193,8.284254557562631,-11.127800481824302,-23.10459069416
元件Ⅱ(申万),59.02172364211042,7.092162612880015,-9.34706643241887,-5.3089959770606825,5.5917639429312604,-25.801034017189718,-30.41391508836304
光学光电子(申万),60.77029053041048,3.34364174667674,-17.002065450135497,-4.332961315371664,9.812491188495699,-41.08491505430704,-18.640464050533613
电子制造Ⅱ(申万),53.82401046777887,9.147171361803764,-12.25170281284733,-2.876716837586335,8.546731729786528,42.270551002191034,-18.697864606996816
汽车服务Ⅱ(申万),65.00709807912159,2.8878637331440693,-5.641226734271399,-6.110048948458968,-1.5962124765478425,-41.069858195009346,-11.491646778042963
汽车零部件Ⅱ(申万),69.81038211968276,5.89190605726182,-6.821604460906028,-3.6296565026706196,-1.4393256510829011,-17.251813287055583,-23.044465701492367
汽车整车(申万),95.90732777316498,3.606045078269915,-5.85778920383161,1.264158780977076,-6.527169311518721,-9.069986525000306,-25.461940732132483
计算机设备Ⅱ(申万),51.095413106772945,6.750223262402599,-9.59373161919167,-13.856971553068465,4.035223726320392,-22.247872444487914,-30.370087282410374
通信设备(申万),35.11745221737146,5.271024165026561,-3.335358854905135,-6.909152273951625,0.3137863912437755,-29.378335949764523,-18.95252080274107
白色家电(申万),66.66987924485512,5.516527091409462,-8.760718961615488,0.6129684940745728,-2.8998791717011807,-11.34323459423976,-19.702839221510082
视听器材(申万),44.99290780141845,-0.29719986044527413,-10.170520977268938,-11.695114403853236,-0.5870356882738514,-11.172858458704326,-15.644399245746744
饮料制造(申万),28.335111496086274,7.910520161844348,-7.905986239605611,3.7667213430877755,-8.267700196129624,4.86507828790701,-13.909196315146621
食品加工(申万),36.71139877987781,4.531077766161018,-9.62794383439186,-3.614789851492062,0.8586439360956488,4.5523039511151,-17.342266543857153
纺织制造(申万),54.108199086318805,2.1746460858695915,-10.443485834036414,-3.8274966535861044,1.376847464818609,-27.196726900784174,-20.086188159368678
服装家纺(申万),36.602836580952,-1.7036104036995847,-8.298782226204548,-5.009244934153423,-7.890536961508321,-17.595119057706967,-20.183472269803193
包装印刷Ⅱ(申万),35.182208538030224,7.341814845409145,-11.877231621450267,-8.497351913758788,0.8443187120858564,-8.735381167207834,-25.55414784417004
家用轻工(申万),45.5290516426627,7.658331316092282,-12.982094292441637,-6.6616355653128405,3.6002828187603253,-14.378738182519779,-27.298672494210518
造纸Ⅱ(申万),40.76584465376061,1.7733348653721004,-8.887275506304926,-1.1192667387011412,-0.12014483212640092,-14.956582633053216,-11.600226131944568
化学制药(申万),20.203625447963947,4.074174994064705,-10.122961942339415,-5.003236530439359,1.587547947939072,-12.787430051560255,-22.024906087582973
生物制品Ⅱ(申万),27.960569110498735,3.534128653717028,-8.907572821192822,-6.238828755790093,3.3834222006786208,-18.897039860159914,-21.924407431133897
医疗器械Ⅱ(申万),40.28869414193685,3.788466387694589,-11.398186050244796,-10.42808493589743,4.621705058180958,-19.079910134591994,-20.4897483580895
医药商业Ⅱ(申万),23.190453911860743,2.8901604930857028,-2.60557242465137,-7.822261823223641,7.749237485796301,-12.714162755574321,-24.363031533832526
中药Ⅱ(申万),27.22086473950136,4.409643462749679,-9.278790261201209,-8.98085448023359,-0.24445639964796317,-5.914145405283355,-22.521790850107337
医疗服务Ⅱ(申万),54.96767980389008,-0.7196059230244134,,-3.7182790385769326,4.841762596021426,,-27.777544701667235
电力(申万),23.589555921508598,-0.1528725953285348,-8.61870037026703,-0.5140045465067189,-1.991430490102275,-3.188964256984239,-24.34652638708058
